review_id,user_id,product_id,rating,review_text,review_date
84,785,1313,5,Delivery time par mil gaya.,2025-08-02 15:45:45.993332
85,871,1807,5,Bohat achi quality hai.,2025-11-16 15:45:45.993334
86,980,2679,5,Bohat achi quality hai.,2025-08-14 15:45:45.993336
87,973,1028,3,Delivery time par mil gaya.,2025-07-08 15:45:45.993338
88,8,441,4,Quality thori average thi.,2025-03-31 15:45:45.993340
89,281,1607,3,Price ke hisaab se acha hai.,2025-10-24 15:45:45.993342
90,74,2853,3,Packaging zabardast thi.,2025-06-30 15:45:45.993345
91,802,63,3,Delivery time par mil gaya.,2026-01-07 15:45:45.993349
92,112,2555,3,Price ke hisaab se acha hai.,2026-02-06 15:45:45.993352
93,956,206,4,Quality thori average thi.,2025-06-29 15:45:45.993355
94,732,496,3,Bohat achi quality hai.,2025-07-16 15:45:45.993359
95,197,1463,5,Bohat achi quality hai.,2025-10-04 15:45:45.993362
96,122,2415,5,Bohat achi quality hai.,2025-02-21 15:45:45.993366
97,423,2559,3,Packaging zabardast thi.,2025-03-31 15:45:45.993369
98,185,2320,4,Quality thori average thi.,2025-03-15 15:45:45.993372
99,175,190,4,Quality thori average thi.,2026-01-03 15:45:45.993375
100,807,1238,5,Packaging zabardast thi.,2025-05-07 15:45:45.993379
101,723,2505,4,Quality thori average thi.,2025-07-15 15:45:45.993381
102,911,1555,5,Quality thori average thi.,2025-12-13 15:45:45.993385
103,396,659,5,Bohat achi quality hai.,2025-12-20 15:45:45.993388
104,94,67,5,Quality thori average thi.,2026-01-21 15:45:45.993392
105,867,942,3,Quality thori average thi.,2025-10-03 15:45:45.993395
106,881,2312,3,Price ke hisaab se acha hai.,2025-02-19 15:45:45.993399
107,601,2600,5,Packaging zabardast thi.,2025-08-09 15:45:45.993402
108,362,1072,3,Price ke hisaab se acha hai.,2026-01-12 15:45:45.993406
109,131,2738,5,Price ke hisaab se acha hai.,2025-07-26 15:45:45.993409
110,543,2054,4,Packaging zabardast thi.,2025-04-10 15:45:45.993414
111,417,2897,5,Price ke hisaab se acha hai.,2025-10-04 15:45:45.993418
112,72,76,3,Packaging zabardast thi.,2026-01-02 15:45:45.993420
113,802,370,3,Delivery time par mil gaya.,2025-09-03 15:45:45.993422
114,843,323,3,Bohat achi quality hai.,2025-11-19 15:45:45.993424
115,856,2542,5,Original product hai.,2026-01-12 15:45:45.993426
116,945,2037,5,Quality thori average thi.,2025-07-02 15:45:45.993428
117,859,2878,3,Delivery time par mil gaya.,2026-01-24 15:45:45.993430
118,417,418,3,Packaging zabardast thi.,2025-07-24 15:45:45.993432
119,972,813,4,Bohat achi quality hai.,2025-04-24 15:45:45.993433
120,121,106,5,Original product hai.,2025-04-08 15:45:45.993435
121,899,2626,4,Quality thori average thi.,2025-07-02 15:45:45.993437
122,657,1691,5,Packaging zabardast thi.,2025-10-16 15:45:45.993439
123,455,106,4,Packaging zabardast thi.,2025-03-23 15:45:45.993441
124,841,1571,3,Packaging zabardast thi.,2025-04-13 15:45:45.993443
125,544,596,5,Bohat achi quality hai.,2025-08-02 15:45:45.993445
126,653,818,5,Packaging zabardast thi.,2025-11-21 15:45:45.993447
127,637,339,4,Packaging zabardast thi.,2025-09-17 15:45:45.993449
128,405,2252,4,Original product hai.,2025-11-15 15:45:45.993451
129,390,2249,4,Price ke hisaab se acha hai.,2025-12-06 15:45:45.993453
130,732,2062,3,Delivery time par mil gaya.,2025-08-24 15:45:45.993455
131,416,1083,5,Original product hai.,2026-01-07 15:45:45.993457
132,647,845,5,Quality thori average thi.,2025-04-24 15:45:45.993459
133,327,1897,4,Price ke hisaab se acha hai.,2026-02-11 15:45:45.993461
134,365,2773,5,Original product hai.,2026-01-04 15:45:45.993463
135,23,90,3,Original product hai.,2025-08-17 15:45:45.993465
136,205,2045,4,Original product hai.,2025-02-16 15:45:45.993467
137,783,2655,5,Price ke hisaab se acha hai.,2025-11-02 15:45:45.993469
138,200,499,4,Original product hai.,2025-10-25 15:45:45.993471
139,608,1702,4,Original product hai.,2025-06-10 15:45:45.993473
140,746,2453,3,Price ke hisaab se acha hai.,2025-10-28 15:45:45.993474
141,66,1177,5,Price ke hisaab se acha hai.,2025-06-28 15:45:45.993476
142,676,422,3,Price ke hisaab se acha hai.,2025-04-26 15:45:45.993478
143,208,862,3,Price ke hisaab se acha hai.,2025-12-10 15:45:45.993480
144,718,1144,5,Quality thori average thi.,2025-07-09 15:45:45.993482
145,75,1361,3,Original product hai.,2026-01-08 15:45:45.993485
146,936,2105,5,Bohat achi quality hai.,2025-07-04 15:45:45.993487
147,416,666,5,Delivery time par mil gaya.,2026-01-13 15:45:45.993489
148,463,2142,3,Price ke hisaab se acha hai.,2025-09-30 15:45:45.993490
149,531,2925,5,Quality thori average thi.,2025-09-22 15:45:45.993493
150,823,1303,5,Bohat achi quality hai.,2025-10-30 15:45:45.993495
151,534,2884,4,Quality thori average thi.,2025-05-24 15:45:45.993497
152,870,72,3,Price ke hisaab se acha hai.,2025-04-13 15:45:45.993499
153,13,2184,3,Packaging zabardast thi.,2025-12-21 15:45:45.993501
154,229,2897,5,Bohat achi quality hai.,2025-12-05 15:45:45.993502
155,545,1998,3,Price ke hisaab se acha hai.,2025-08-14 15:45:45.993504
156,989,541,3,Quality thori average thi.,2025-12-21 15:45:45.993506
157,806,333,5,Delivery time par mil gaya.,2025-05-26 15:45:45.993508
158,724,228,3,Packaging zabardast thi.,2026-01-20 15:45:45.993510
159,804,89,4,Quality thori average thi.,2025-12-26 15:45:45.993512
160,401,2686,5,Packaging zabardast thi.,2025-11-30 15:45:45.993514
161,130,1369,3,Price ke hisaab se acha hai.,2025-04-04 15:45:45.993516
162,942,1192,4,Original product hai.,2025-09-19 15:45:45.993518
163,237,1034,5,Bohat achi quality hai.,2025-02-18 15:45:45.993520
164,565,633,4,Price ke hisaab se acha hai.,2025-08-10 15:45:45.993522
165,346,1885,3,Bohat achi quality hai.,2026-01-04 15:45:45.993524
166,160,2680,5,Delivery time par mil gaya.,2025-08-28 15:45:45.993526
167,815,1364,3,Original product hai.,2026-02-14 15:45:45.993529
168,63,441,4,Packaging zabardast thi.,2026-01-14 15:45:45.993532
169,103,117,3,Delivery time par mil gaya.,2025-08-25 15:45:45.993535
170,316,595,5,Delivery time par mil gaya.,2026-01-13 15:45:45.993538
171,766,1558,3,Packaging zabardast thi.,2025-05-26 15:45:45.993541
172,833,873,4,Delivery time par mil gaya.,2025-12-11 15:45:45.993545
173,918,1131,5,Bohat achi quality hai.,2025-06-19 15:45:45.993548
174,4,184,5,Bohat achi quality hai.,2025-07-08 15:45:45.993553
175,202,1176,5,Delivery time par mil gaya.,2025-02-27 15:45:45.993556
176,679,196,3,Quality thori average thi.,2025-03-03 15:45:45.993560
177,574,2989,3,Original product hai.,2025-09-06 15:45:45.993563
178,98,1393,4,Bohat achi quality hai.,2025-11-27 15:45:45.993565
179,489,102,5,Packaging zabardast thi.,2025-04-07 15:45:45.993567
180,104,407,4,Quality thori average thi.,2025-08-01 15:45:45.993569
181,254,2205,5,Quality thori average thi.,2025-07-14 15:45:45.993571
182,141,912,4,Delivery time par mil gaya.,2025-09-27 15:45:45.993573
183,814,1259,4,Bohat achi quality hai.,2025-12-01 15:45:45.993575
184,860,1209,5,Packaging zabardast thi.,2025-11-14 15:45:45.993577
185,326,2662,4,Packaging zabardast thi.,2025-09-09 15:45:45.993579
186,230,1346,5,Quality thori average thi.,2025-07-19 15:45:45.993581
187,798,396,4,Quality thori average thi.,2025-10-26 15:45:45.993582
188,777,1896,5,Packaging zabardast thi.,2025-09-14 15:45:45.993584
189,161,1777,3,Price ke hisaab se acha hai.,2025-12-01 15:45:45.993587
190,356,1168,4,Delivery time par mil gaya.,2026-01-17 15:45:45.993589
191,684,1853,5,Delivery time par mil gaya.,2025-05-31 15:45:45.993590
192,532,1198,5,Packaging zabardast thi.,2025-03-24 15:45:45.993592
193,572,2278,3,Price ke hisaab se acha hai.,2025-08-11 15:45:45.993594
194,929,2015,5,Quality thori average thi.,2025-12-11 15:45:45.993596
195,615,486,5,Price ke hisaab se acha hai.,2025-08-19 15:45:45.993598
196,917,2118,5,Packaging zabardast thi.,2025-03-11 15:45:45.993600
197,179,2508,3,Original product hai.,2025-12-31 15:45:45.993602
198,614,2306,5,Delivery time par mil gaya.,2026-01-10 15:45:45.993605
199,147,1855,5,Original product hai.,2025-10-28 15:45:45.993608
200,253,1991,3,Quality thori average thi.,2026-02-08 15:45:45.993612
201,640,2882,3,Delivery time par mil gaya.,2026-02-07 15:45:45.993615
202,527,2608,4,Bohat achi quality hai.,2025-08-29 15:45:45.993620
203,579,789,5,Packaging zabardast thi.,2026-02-07 15:45:45.993622
204,323,784,4,Bohat achi quality hai.,2025-08-23 15:45:45.993625
205,238,2282,4,Bohat achi quality hai.,2026-01-27 15:45:45.993629
206,822,1418,3,Bohat achi quality hai.,2025-03-17 15:45:45.993631
207,729,2037,4,Packaging zabardast thi.,2025-04-16 15:45:45.993634
208,60,2207,5,Delivery time par mil gaya.,2025-12-12 15:45:45.993637
209,556,1127,5,Original product hai.,2025-03-05 15:45:45.993640
210,439,37,4,Quality thori average thi.,2026-01-03 15:45:45.993644
211,147,2673,4,Bohat achi quality hai.,2025-08-17 15:45:45.993647
212,191,204,4,Bohat achi quality hai.,2025-09-21 15:45:45.993651
213,449,2368,3,Packaging zabardast thi.,2025-08-02 15:45:45.993654
214,240,309,4,Quality thori average thi.,2025-03-31 15:45:45.993657
215,292,2645,5,Price ke hisaab se acha hai.,2025-05-26 15:45:45.993660
216,855,2469,3,Packaging zabardast thi.,2025-05-15 15:45:45.993664
217,463,2720,5,Original product hai.,2025-08-19 15:45:45.993667
218,130,2334,4,Bohat achi quality hai.,2026-01-30 15:45:45.993670
219,663,1234,5,Price ke hisaab se acha hai.,2025-11-19 15:45:45.993673
220,23,590,4,Original product hai.,2025-02-20 15:45:45.993677
221,118,2693,4,Packaging zabardast thi.,2025-10-12 15:45:45.993680
222,100,2603,3,Original product hai.,2025-09-12 15:45:45.993683
223,53,1683,4,Bohat achi quality hai.,2025-07-20 15:45:45.993686
224,826,78,5,Original product hai.,2025-10-18 15:45:45.993689
225,887,769,4,Packaging zabardast thi.,2025-12-29 15:45:45.993692
226,865,1911,3,Bohat achi quality hai.,2026-01-22 15:45:45.993696
227,636,2600,5,Packaging zabardast thi.,2025-08-13 15:45:45.993699
228,923,980,5,Price ke hisaab se acha hai.,2025-11-23 15:45:45.993701
229,531,941,4,Packaging zabardast thi.,2025-04-27 15:45:45.993705
230,441,2089,3,Packaging zabardast thi.,2025-09-02 15:45:45.993708
231,929,78,5,Delivery time par mil gaya.,2025-02-26 15:45:45.993711
232,352,2559,3,Bohat achi quality hai.,2025-06-15 15:45:45.993714
233,977,2165,4,Original product hai.,2026-02-07 15:45:45.993717
234,385,1886,3,Delivery time par mil gaya.,2025-09-12 15:45:45.993721
235,118,2648,3,Delivery time par mil gaya.,2025-04-17 15:45:45.993725
236,399,274,3,Packaging zabardast thi.,2025-09-02 15:45:45.993728
237,494,241,3,Packaging zabardast thi.,2025-04-08 15:45:45.993731
238,430,1111,5,Packaging zabardast thi.,2025-12-10 15:45:45.993735
239,894,2402,3,Packaging zabardast thi.,2025-06-23 15:45:45.993738
240,274,701,4,Original product hai.,2025-06-07 15:45:45.993741
241,278,2939,3,Packaging zabardast thi.,2025-10-12 15:45:45.993744
242,994,2672,5,Packaging zabardast thi.,2025-06-21 15:45:45.993747
243,828,561,4,Bohat achi quality hai.,2025-05-15 15:45:45.993751
244,183,2133,3,Bohat achi quality hai.,2026-01-15 15:45:45.993754
245,704,310,4,Original product hai.,2025-12-14 15:45:45.993757
246,720,2637,5,Original product hai.,2025-12-23 15:45:45.993761
247,26,2775,4,Delivery time par mil gaya.,2025-06-15 15:45:45.993764
248,601,433,4,Bohat achi quality hai.,2025-11-01 15:45:45.993768
249,545,1867,4,Price ke hisaab se acha hai.,2025-05-11 15:45:45.993771
250,575,1061,5,Bohat achi quality hai.,2025-07-17 15:45:45.993774
251,993,362,5,Bohat achi quality hai.,2025-10-31 15:45:45.993778
252,961,29,5,Packaging zabardast thi.,2025-10-17 15:45:45.993781
253,381,1743,4,Quality thori average thi.,2025-03-03 15:45:45.993784
254,301,2712,4,Original product hai.,2025-10-06 15:45:45.993788
255,590,2842,5,Quality thori average thi.,2025-10-27 15:45:45.993792
256,450,31,5,Delivery time par mil gaya.,2025-10-17 15:45:45.993797
257,824,1464,4,Packaging zabardast thi.,2025-12-07 15:45:45.993800
258,118,1160,5,Original product hai.,2025-12-24 15:45:45.993802
259,498,770,5,Original product hai.,2026-02-04 15:45:45.993805
260,367,2017,3,Price ke hisaab se acha hai.,2025-06-25 15:45:45.993808
261,459,1442,4,Original product hai.,2025-10-30 15:45:45.993812
262,122,2677,5,Bohat achi quality hai.,2025-04-18 15:45:45.993815
263,976,218,5,Quality thori average thi.,2025-08-06 15:45:45.993819
264,468,2699,3,Delivery time par mil gaya.,2026-02-04 15:45:45.993826
265,821,1768,4,Price ke hisaab se acha hai.,2025-05-21 15:45:45.993828
266,455,1346,4,Quality thori average thi.,2025-09-26 15:45:45.993830
267,396,1619,4,Price ke hisaab se acha hai.,2025-08-31 15:45:45.993832
268,227,2463,5,Original product hai.,2025-11-06 15:45:45.993834
269,414,1881,4,Bohat achi quality hai.,2025-09-10 15:45:45.993836
270,627,1871,5,Bohat achi quality hai.,2025-11-11 15:45:45.993838
271,290,2253,4,Original product hai.,2026-01-06 15:45:45.993840
272,361,2707,5,Original product hai.,2025-10-25 15:45:45.993842
273,84,1617,4,Price ke hisaab se acha hai.,2026-01-11 15:45:45.993845
274,486,542,5,Delivery time par mil gaya.,2025-10-17 15:45:45.993847
275,237,2201,5,Price ke hisaab se acha hai.,2026-01-04 15:45:45.993849
276,279,1351,5,Quality thori average thi.,2025-04-06 15:45:45.993851
277,773,149,5,Packaging zabardast thi.,2025-12-18 15:45:45.993853
278,681,2263,3,Delivery time par mil gaya.,2025-05-18 15:45:45.993855
279,35,1466,3,Quality thori average thi.,2025-09-24 15:45:45.993857
280,545,2820,5,Packaging zabardast thi.,2025-03-21 15:45:45.993859
281,431,2589,5,Quality thori average thi.,2025-06-03 15:45:45.993861
282,806,421,5,Quality thori average thi.,2025-02-14 15:45:45.993863
283,59,606,4,Price ke hisaab se acha hai.,2025-09-23 15:45:45.993865
284,376,456,3,Price ke hisaab se acha hai.,2025-09-14 15:45:45.993867
285,823,306,4,Quality thori average thi.,2025-05-18 15:45:45.993869
286,903,266,3,Bohat achi quality hai.,2026-01-13 15:45:45.993871
287,196,11,4,Delivery time par mil gaya.,2026-02-10 15:45:45.993872
288,722,1989,5,Original product hai.,2025-02-23 15:45:45.993874
289,68,1512,5,Original product hai.,2025-10-02 15:45:45.993877
290,810,1288,3,Bohat achi quality hai.,2025-12-01 15:45:45.993879
291,843,1479,4,Price ke hisaab se acha hai.,2025-05-24 15:45:45.993881
292,546,2586,3,Quality thori average thi.,2025-07-21 15:45:45.993883
293,330,115,3,Packaging zabardast thi.,2025-09-13 15:45:45.993884
294,914,1355,3,Packaging zabardast thi.,2025-07-09 15:45:45.993886
295,73,2744,4,Quality thori average thi.,2025-06-09 15:45:45.993888
296,952,2572,3,Original product hai.,2025-10-31 15:45:45.993890
297,832,1927,5,Quality thori average thi.,2025-05-27 15:45:45.993892
298,187,280,5,Quality thori average thi.,2026-02-01 15:45:45.993894
299,319,2363,4,Delivery time par mil gaya.,2025-10-08 15:45:45.993896
300,69,1906,3,Packaging zabardast thi.,2025-12-06 15:45:45.993898
301,781,1096,3,Bohat achi quality hai.,2025-11-09 15:45:45.993900
302,218,882,3,Price ke hisaab se acha hai.,2025-03-12 15:45:45.993902
303,528,2820,5,Packaging zabardast thi.,2025-05-22 15:45:45.993904
304,818,2093,3,Delivery time par mil gaya.,2025-12-22 15:45:45.993906
305,874,380,5,Packaging zabardast thi.,2025-02-17 15:45:45.993908
306,774,2138,5,Original product hai.,2026-02-05 15:45:45.993910
307,42,1467,5,Bohat achi quality hai.,2025-11-10 15:45:45.993912
308,487,375,4,Quality thori average thi.,2025-04-03 15:45:45.993914
309,74,1552,5,Original product hai.,2025-03-27 15:45:45.993916
310,44,1889,5,Price ke hisaab se acha hai.,2025-06-08 15:45:45.993919
311,565,2420,4,Bohat achi quality hai.,2025-06-17 15:45:45.993920
312,747,2852,5,Original product hai.,2025-05-26 15:45:45.993923
313,801,268,4,Original product hai.,2025-03-20 15:45:45.993925
314,790,1668,3,Bohat achi quality hai.,2025-08-11 15:45:45.993927
315,134,2043,4,Bohat achi quality hai.,2025-04-20 15:45:45.993929
316,994,2040,3,Bohat achi quality hai.,2025-04-06 15:45:45.993931
317,859,794,4,Original product hai.,2025-12-03 15:45:45.994000
318,469,259,5,Quality thori average thi.,2026-02-02 15:45:45.994003
319,103,2870,3,Price ke hisaab se acha hai.,2025-09-21 15:45:45.994005
320,124,981,5,Original product hai.,2025-10-30 15:45:45.994007
321,424,1042,3,Price ke hisaab se acha hai.,2026-01-21 15:45:45.994009
322,53,652,4,Original product hai.,2026-01-16 15:45:45.994011
323,635,1545,5,Packaging zabardast thi.,2025-11-23 15:45:45.994012
324,920,916,4,Quality thori average thi.,2025-07-30 15:45:45.994014
325,729,871,5,Packaging zabardast thi.,2025-07-17 15:45:45.994016
326,615,2011,4,Packaging zabardast thi.,2025-12-22 15:45:45.994018
327,707,2825,3,Bohat achi quality hai.,2025-10-29 15:45:45.994020
328,661,2918,3,Delivery time par mil gaya.,2025-12-01 15:45:45.994023
329,359,701,4,Bohat achi quality hai.,2025-05-03 15:45:45.994025
330,856,1665,5,Packaging zabardast thi.,2025-06-04 15:45:45.994027
331,409,2037,3,Packaging zabardast thi.,2026-01-18 15:45:45.994029
332,62,152,4,Packaging zabardast thi.,2025-12-28 15:45:45.994031
333,281,2645,4,Original product hai.,2026-01-27 15:45:45.994033
334,328,1751,5,Original product hai.,2025-03-25 15:45:45.994035
335,259,2874,4,Quality thori average thi.,2025-11-11 15:45:45.994037
336,597,781,5,Delivery time par mil gaya.,2026-01-04 15:45:45.994039
337,725,1398,3,Quality thori average thi.,2025-09-15 15:45:45.994041
338,196,1230,3,Original product hai.,2026-01-03 15:45:45.994043
339,738,2711,4,Delivery time par mil gaya.,2025-05-01 15:45:45.994045
340,195,2773,5,Bohat achi quality hai.,2025-11-25 15:45:45.994047
341,83,1420,3,Quality thori average thi.,2026-02-01 15:45:45.994049
342,900,382,5,Bohat achi quality hai.,2025-04-02 15:45:45.994051
343,894,2226,4,Bohat achi quality hai.,2025-07-27 15:45:45.994053
344,292,1579,5,Original product hai.,2025-11-22 15:45:45.994055
345,902,2145,4,Bohat achi quality hai.,2025-12-17 15:45:45.994057
346,711,92,4,Price ke hisaab se acha hai.,2025-11-04 15:45:45.994059
347,728,1955,3,Quality thori average thi.,2025-04-03 15:45:45.994061
348,391,968,4,Quality thori average thi.,2025-04-17 15:45:45.994063
349,678,1335,4,Original product hai.,2025-04-26 15:45:45.994065
350,30,1001,3,Bohat achi quality hai.,2025-08-10 15:45:45.994067
351,392,885,3,Original product hai.,2025-05-16 15:45:45.994070
352,565,415,5,Packaging zabardast thi.,2025-12-28 15:45:45.994073
353,287,132,5,Bohat achi quality hai.,2026-01-10 15:45:45.994077
354,754,2193,3,Bohat achi quality hai.,2025-05-27 15:45:45.994081
355,368,992,5,Delivery time par mil gaya.,2025-12-01 15:45:45.994084
356,205,2361,5,Packaging zabardast thi.,2025-03-14 15:45:45.994087
357,907,2028,4,Original product hai.,2025-11-03 15:45:45.994091
358,893,1239,3,Delivery time par mil gaya.,2025-04-26 15:45:45.994096
359,23,1513,3,Original product hai.,2025-08-19 15:45:45.994098
360,411,1479,5,Packaging zabardast thi.,2025-02-23 15:45:45.994100
361,149,1411,3,Delivery time par mil gaya.,2025-11-04 15:45:45.994102
362,236,16,3,Price ke hisaab se acha hai.,2025-10-16 15:45:45.994104
363,421,866,5,Original product hai.,2025-09-03 15:45:45.994106
364,361,1619,3,Quality thori average thi.,2025-06-21 15:45:45.994108
365,727,2306,3,Bohat achi quality hai.,2025-04-02 15:45:45.994110
366,313,2556,5,Quality thori average thi.,2026-01-28 15:45:45.994112
367,751,1784,3,Delivery time par mil gaya.,2025-04-12 15:45:45.994114
368,151,1785,5,Price ke hisaab se acha hai.,2026-02-01 15:45:45.994116
369,406,1245,4,Price ke hisaab se acha hai.,2025-07-08 15:45:45.994118
370,597,339,5,Original product hai.,2025-12-11 15:45:45.994121
371,208,272,5,Bohat achi quality hai.,2025-09-19 15:45:45.994125
372,850,606,5,Packaging zabardast thi.,2025-07-25 15:45:45.994128
373,17,716,3,Price ke hisaab se acha hai.,2025-11-15 15:45:45.994131
374,257,1899,5,Packaging zabardast thi.,2025-04-06 15:45:45.994135
375,39,936,3,Packaging zabardast thi.,2025-03-09 15:45:45.994140
376,317,2108,3,Original product hai.,2025-08-28 15:45:45.994142
377,206,118,5,Original product hai.,2025-08-13 15:45:45.994144
378,443,1036,5,Original product hai.,2025-03-15 15:45:45.994146
379,923,458,3,Packaging zabardast thi.,2025-07-25 15:45:45.994148
380,749,2243,4,Packaging zabardast thi.,2025-02-26 15:45:45.994150
381,456,2328,4,Packaging zabardast thi.,2025-04-14 15:45:45.994153
382,33,1027,5,Delivery time par mil gaya.,2025-03-15 15:45:45.994156
383,294,409,5,Price ke hisaab se acha hai.,2025-03-25 15:45:45.994160
384,762,863,5,Bohat achi quality hai.,2025-07-07 15:45:45.994163
385,280,944,5,Packaging zabardast thi.,2025-07-30 15:45:45.994167
386,685,383,3,Delivery time par mil gaya.,2025-11-14 15:45:45.994170
387,61,973,5,Bohat achi quality hai.,2025-07-17 15:45:45.994177
388,616,1159,5,Original product hai.,2025-09-25 15:45:45.994179
